Rivet 3.1.1 running on machine aligentest.cern.ch (x86_64) at 2022-04-15 14:17:07
Reading events from '/tmp/p8R3.fifo'
Event 58600 (0:11:23 elapsed)
Event 58700 (0:11:24 elapsed)
Event 58800 (0:11:26 elapsed)
Event 58900 (0:11:27 elapsed)
Event 59000 (0:11:28 elapsed)
Event 59100 (0:11:29 elapsed)
Event 59200 (0:11:30 elapsed)
Event 59300 (0:11:31 elapsed)
Event 59400 (0:11:32 elapsed)
Event 59500 (0:11:33 elapsed)
Event 59600 (0:11:34 elapsed)
Event 59700 (0:11:36 elapsed)
Event 59800 (0:11:37 elapsed)
Event 59900 (0:11:38 elapsed)
Event 60000 (0:11:39 elapsed)
Event 60100 (0:11:40 elapsed)
Event 60200 (0:11:41 elapsed)
Event 60300 (0:11:42 elapsed)
Event 60400 (0:11:43 elapsed)
Event 60500 (0:11:44 elapsed)
Event 60600 (0:11:45 elapsed)
Event 60700 (0:11:46 elapsed)
Event 60800 (0:11:47 elapsed)
Event 60900 (0:11:48 elapsed)
Event 61000 (0:11:49 elapsed)
Event 61100 (0:11:50 elapsed)
Event 61200 (0:11:51 elapsed)
Event 61300 (0:11:52 elapsed)
Event 61400 (0:11:53 elapsed)
Event 61500 (0:11:54 elapsed)
Event 61600 (0:11:55 elapsed)
Event 61700 (0:11:56 elapsed)
Event 61800 (0:11:57 elapsed)
Event 61900 (0:11:58 elapsed)
Event 62000 (0:11:59 elapsed)
Event 62100 (0:12:01 elapsed)
Event 62200 (0:12:02 elapsed)
Event 62300 (0:12:03 elapsed)
Event 62400 (0:12:04 elapsed)
Event 62500 (0:12:05 elapsed)
Event 62600 (0:12:07 elapsed)
Event 62700 (0:12:08 elapsed)
Event 62800 (0:12:09 elapsed)
Event 62900 (0:12:10 elapsed)
Event 63000 (0:12:11 elapsed)
Event 63100 (0:12:12 elapsed)
Event 63200 (0:12:13 elapsed)
Event 63300 (0:12:14 elapsed)
Event 63400 (0:12:15 elapsed)
Event 63500 (0:12:17 elapsed)
Event 63600 (0:12:17 elapsed)
Event 63700 (0:12:18 elapsed)
Event 63800 (0:12:19 elapsed)
Event 63900 (0:12:21 elapsed)
Event 64000 (0:12:22 elapsed)
Event 64100 (0:12:23 elapsed)
Event 64200 (0:12:24 elapsed)
Event 64300 (0:12:25 elapsed)
Event 64400 (0:12:26 elapsed)
Event 64500 (0:12:27 elapsed)
Event 64600 (0:12:28 elapsed)
Event 64700 (0:12:29 elapsed)
Event 64800 (0:12:31 elapsed)
Event 64900 (0:12:31 elapsed)
Event 65000 (0:12:33 elapsed)
Event 65100 (0:12:33 elapsed)
Event 65200 (0:12:35 elapsed)
Event 65300 (0:12:36 elapsed)
Event 65400 (0:12:37 elapsed)
Event 65500 (0:12:38 elapsed)
Event 65600 (0:12:39 elapsed)
Event 65700 (0:12:40 elapsed)
Event 65800 (0:12:41 elapsed)
Event 65900 (0:12:42 elapsed)
Event 66000 (0:12:43 elapsed)
Event 66100 (0:12:44 elapsed)
Event 66200 (0:12:46 elapsed)
Event 66300 (0:12:47 elapsed)
Event 66400 (0:12:48 elapsed)
Event 66500 (0:12:49 elapsed)
Event 66600 (0:12:50 elapsed)
Event 66700 (0:12:51 elapsed)
Event 66800 (0:12:52 elapsed)
Event 66900 (0:12:53 elapsed)
Event 67000 (0:12:54 elapsed)
Event 67100 (0:12:55 elapsed)
Event 67200 (0:12:57 elapsed)
Event 67300 (0:12:58 elapsed)
Event 67400 (0:12:59 elapsed)
Event 67500 (0:13:00 elapsed)
Event 67600 (0:13:02 elapsed)
Event 67700 (0:13:03 elapsed)
Event 67800 (0:13:04 elapsed)
Event 67900 (0:13:05 elapsed)
Event 68000 (0:13:06 elapsed)
Event 68100 (0:13:08 elapsed)
Event 68200 (0:13:09 elapsed)
Event 68300 (0:13:10 elapsed)
Event 68400 (0:13:11 elapsed)
Event 68500 (0:13:12 elapsed)
Event 68600 (0:13:13 elapsed)
Event 68700 (0:13:14 elapsed)
Event 68800 (0:13:15 elapsed)
Event 68900 (0:13:17 elapsed)
Event 69000 (0:13:18 elapsed)
Event 69100 (0:13:19 elapsed)
Event 69200 (0:13:20 elapsed)
Event 69300 (0:13:21 elapsed)
Event 69400 (0:13:22 elapsed)
Event 69500 (0:13:23 elapsed)
Event 69600 (0:13:24 elapsed)
Event 69700 (0:13:25 elapsed)
Event 69800 (0:13:26 elapsed)
Event 69900 (0:13:27 elapsed)
Event 70000 (0:13:29 elapsed)
Event 70100 (0:13:30 elapsed)
Event 70200 (0:13:31 elapsed)
Event 70300 (0:13:32 elapsed)
Event 70400 (0:13:33 elapsed)
Event 70500 (0:13:34 elapsed)
Event 70600 (0:13:35 elapsed)
Event 70700 (0:13:36 elapsed)
Event 70800 (0:13:37 elapsed)
Event 70900 (0:13:38 elapsed)
Event 71000 (0:13:39 elapsed)
Event 71100 (0:13:40 elapsed)
Event 71200 (0:13:41 elapsed)
Event 71300 (0:13:42 elapsed)
Event 71400 (0:13:43 elapsed)
Event 71500 (0:13:45 elapsed)
Event 71600 (0:13:46 elapsed)
